prompt,data_type,head,label,avg_window_entropy,min_window_entropy,max_window_entropy
but_beautiful,time,12,chick,4.700935062363036,4.677902902297328,4.726397133571789
but_beautiful,time,13,chick,4.6306047637578684,4.53935312869283,4.729901962981295
but_beautiful,time,14,chick,4.6907122996224135,4.680849373864651,4.743536314467453
but_beautiful,time,15,chick,4.233496100158383,4.114129947829221,4.400208608400938
dusk_in_sandi,pitch,0,chick,4.6026200145113565,4.033283842662999,4.701942805636383
dusk_in_sandi,pitch,1,chick,4.447598609537792,4.248529189630131,4.484103362299087
dusk_in_sandi,pitch,2,chick,4.762424815818416,4.756289337810804,4.769888624295619
dusk_in_sandi,pitch,3,chick,4.012763629103844,3.971925259473998,4.12690091149293
dusk_in_sandi,pitch,4,chick,4.257327918551233,4.151391167067933,4.6468549594074275
dusk_in_sandi,pitch,5,chick,4.460725510843065,4.381704463564074,4.74673635961379
dusk_in_sandi,pitch,6,chick,4.475284442143805,4.435148516399813,4.558584243101469
dusk_in_sandi,pitch,7,chick,4.670505592840434,4.59768968886508,4.703209873857379
dusk_in_sandi,pitch,8,chick,4.500841202336835,4.343074615578822,4.52973178405403
dusk_in_sandi,pitch,9,chick,4.055593578686606,3.887395589267061,4.671423771923248
dusk_in_sandi,pitch,10,chick,4.6403137573995945,4.145009911526378,4.719910712881748
dusk_in_sandi,pitch,11,chick,4.543669404142156,4.333901048793708,4.577243219282633
dusk_in_sandi,pitch,12,chick,4.759036746651876,4.746754957214178,4.76561057449442
dusk_in_sandi,pitch,13,chick,4.526369624918753,4.432060552979292,4.721934480472864
dusk_in_sandi,pitch,14,chick,4.4629820572487064,4.301330401772132,4.509298073097972
dusk_in_sandi,pitch,15,chick,4.18963192403749,3.4843514944670053,4.343841117311557
dusk_in_sandi,dur,0,chick,4.5847759796941014,3.5592739563720692,4.707764697387533
dusk_in_sandi,dur,1,chick,4.7228410791612,4.627370847465656,4.743195521603012
dusk_in_sandi,dur,2,chick,4.758631145862551,4.722554518717304,4.768040405111681
